claim,value
WitEcdfMonotonePlot,"(0.0340,0.0089)(0.0370,0.0179)(0.0370,0.0268)(0.0371,0.0357)(0.0375,0.0446)(0.0377,0.0536)(0.0380,0.0625)(0.0385,0.0714)(0.0442,0.0804)(0.0444,0.0893)(0.0448,0.0982)(0.0462,0.1071)(0.0475,0.1161)(0.0477,0.1250)(0.0478,0.1339)(0.0497,0.1429)(0.0500,0.1518)(0.0518,0.1607)(0.0532,0.1696)(0.0538,0.1786)(0.0604,0.1875)(0.0620,0.1964)(0.0627,0.2054)(0.0645,0.2143)(0.0646,0.2232)(0.0649,0.2321)(0.0656,0.2411)(0.0663,0.2500)(0.0677,0.2589)(0.0683,0.2679)(0.0709,0.2768)(0.0713,0.2857)(0.0720,0.2946)(0.0723,0.3036)(0.0724,0.3125)(0.0726,0.3214)(0.0729,0.3304)(0.0731,0.3393)(0.0736,0.3482)(0.0810,0.3571)(0.0855,0.3661)(0.0900,0.3750)(0.0985,0.3839)(0.1003,0.3929)(0.1008,0.4018)(0.1021,0.4107)(0.1045,0.4196)(0.1189,0.4286)(0.1254,0.4375)(0.1275,0.4464)(0.1295,0.4554)(0.1385,0.4643)(0.1649,0.4732)(0.1816,0.4821)(0.1969,0.4911)(0.2029,0.5000)(0.2035,0.5089)(0.2038,0.5179)(0.2045,0.5268)(0.2047,0.5357)(0.2047,0.5446)(0.2049,0.5536)(0.2074,0.5625)(0.2079,0.5714)(0.2079,0.5804)(0.2099,0.5893)(0.2102,0.5982)(0.2135,0.6071)(0.2284,0.6161)(0.2456,0.6250)(0.2572,0.6339)(0.2694,0.6429)(0.2827,0.6518)(0.2852,0.6607)(0.3400,0.6696)(0.3429,0.6786)(0.4019,0.6875)(0.4074,0.6964)(0.4090,0.7054)(0.4193,0.7143)(0.4202,0.7232)(0.4751,0.7321)(0.4772,0.7411)(0.5897,0.7500)(0.6376,0.7589)(0.7580,0.7679)(0.7752,0.7768)(0.8178,0.7857)(0.8380,0.7946)(0.8383,0.8036)(0.8428,0.8125)(0.8480,0.8214)(0.8488,0.8304)(0.8491,0.8393)(0.8607,0.8482)(0.8754,0.8571)(0.9372,0.8661)(0.9511,0.8750)(1.0350,0.8839)(1.4106,0.8929)(1.4285,0.9018)(1.4451,0.9107)(1.5101,0.9196)(1.5789,0.9286)(1.5973,0.9375)(1.6067,0.9464)(1.6078,0.9554)(1.6261,0.9643)(2.0562,0.9732)(2.2947,0.9821)(2.6597,0.9911)(2.8000,1.0000)"
WitCurveNoFactPlot,"(0.1,0.4976)(1.0,0.4214)(10.0,0.5148)(50.0,0.8536)"
WitEcdfNoFactPlot,"(0.0033,0.0250)(0.0099,0.0500)(0.0114,0.0750)(0.0735,0.1000)(0.3392,0.1250)(0.3986,0.1500)(0.3994,0.1750)(0.4167,0.2000)(0.4214,0.2250)(0.4327,0.2500)(0.4410,0.2750)(0.4611,0.3000)(0.4774,0.3250)(0.4789,0.3500)(0.4816,0.3750)(0.4898,0.4000)(0.5130,0.4250)(0.5136,0.4500)(0.5148,0.4750)(0.5425,0.5000)(0.5640,0.5250)(0.6989,0.5500)(0.7021,0.5750)(0.7462,0.6000)(0.8134,0.6250)(0.8938,0.6500)(0.9171,0.6750)(1.0107,0.7000)(1.0850,0.7250)(1.2718,0.7500)(1.2940,0.7750)(1.4018,0.8000)(2.5227,0.8250)(2.8007,0.8500)(2.8286,0.8750)(3.0422,0.9000)(3.5926,0.9250)(3.7201,0.9500)(6.0021,0.9750)(6.1203,1.0000)"
WitCensusGroupRows,"clickbench & 9 & 0.59 & 22.2 & 28.5 \\
household & 8 & 0.52 & 12.5 & 16.6 \\
large & 18 & 1.18 & 0.0 & 0.0 \\
nab & 48 & 0.41 & 50.0 & 50.0 \\
publicbi & 17 & 1.11 & 5.9 & 24.8 \\
tpch & 9 & 0.59 & 11.1 & 11.1 \\"
WitSizeGroupRows,"clickbench & 4 & 1.04 & 2.77 & 2.27$\times$ \\
household & 3 & 6.36 & 14.86 & 1.64$\times$ \\
nab & 48 & 4.82 & 21.60 & 2.60$\times$ \\
publicbi & 8 & 2.63 & 5.02 & 1.67$\times$ \\
taxi & 3 & 1.71 & 3.02 & 1.76$\times$ \\
tpch & 6 & 3.81 & 6.02 & 1.71$\times$ \\"
WitPremiumGroupLow,1.64
WitPremiumGroupHigh,2.60
WitPremiumGroups,6
WitDictPairs,4
WitDictCells,14
