kind,case,query,p25_ns,median_ns,p75_ns
plan_compilation,11,FILTER_POINT,6144.7,6156.4,6171.7
plan_compilation,11,FILTER_50PCT,6153.0,6164.8,6169.3
plan_compilation,12,GET,1764.4,1771.5,1777.6
plan_compilation,12,SUM_1PCT,1718.4,1733.4,1754.2
plan_compilation,12,SUM_70PCT,1734.7,1743.0,1757.9
plan_compilation,12,BETWEEN_1PCT,1740.2,1751.6,1767.6
plan_compilation,12,BETWEEN_70PCT,1753.9,1785.9,1795.2
plan_compilation,12,FILTER_POINT,1763.4,1782.3,1793.8
plan_compilation,12,FILTER_50PCT,1788.5,1799.0,1801.7
plan_compilation,13,GET,5619.7,5626.9,5637.5
plan_compilation,13,SUM_1PCT,5631.7,5647.0,5668.2
plan_compilation,13,SUM_70PCT,5658.1,5670.3,5682.5
plan_compilation,13,BETWEEN_1PCT,5652.2,5664.6,5682.1
plan_compilation,13,BETWEEN_70PCT,5638.0,5643.6,5666.5
plan_compilation,13,FILTER_POINT,5529.3,5546.3,5578.8
plan_compilation,13,FILTER_50PCT,5561.9,5566.3,5588.4
plan_compilation,14,GET,6341.8,6358.4,6376.3
plan_compilation,14,SUM_1PCT,6395.3,6415.4,6445.2
plan_compilation,14,SUM_70PCT,6393.4,6435.2,6456.7
plan_compilation,14,BETWEEN_1PCT,6428.6,6445.0,6477.3
plan_compilation,14,BETWEEN_70PCT,6442.1,6448.3,6479.5
plan_compilation,14,FILTER_POINT,6410.3,6422.5,6523.9
plan_compilation,14,FILTER_50PCT,6349.3,6365.2,6387.3
plan_compilation,15,GET,5644.2,5650.6,5669.9
plan_compilation,15,SUM_1PCT,5629.3,5640.0,5651.1
plan_compilation,15,SUM_70PCT,5723.1,5751.2,5768.0
plan_compilation,15,BETWEEN_1PCT,5721.4,5740.7,5757.2
plan_compilation,15,BETWEEN_70PCT,5739.2,5747.0,5767.2
plan_compilation,15,FILTER_POINT,931.0,944.5,953.2
plan_compilation,15,FILTER_50PCT,933.1,939.2,964.5
