case,split,recipe,query,rows,selectivity,tier,plan,p25_ns,median_ns,p75_ns,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,decoded_rows,file_bytes,metadata_bytes,layout_frames,restart_entries,rle_runs,dictionary_entries,patch_count,nullable_nodes
0,train,"Nullable(FOR(BitPack))",BETWEEN,4,0.00024414,buffered_hot,selective_closure,8787.4,8790.8,8793.8,502,856,856,6,0,4,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,4,0.00024414,buffered_hot,broad_fused,804580.0,804790.0,806042.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,4,0.00024414,buffered_drop_cache,selective_closure,173448.0,176333.0,179177.0,502,856,856,6,0,4,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,4,0.00024414,buffered_drop_cache,broad_fused,933753.0,935075.0,935366.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,16,0.00097656,memory_warm,selective_closure,3582.9,3607.7,3639.4,526,856,856,6,0,16,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,16,0.00097656,memory_warm,broad_fused,798040.0,799052.0,799392.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,16,0.00097656,mmap_hot,selective_closure,4102.3,4137.7,4139.9,526,856,856,6,0,16,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,16,0.00097656,mmap_hot,broad_fused,801716.0,806483.0,813704.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,16,0.00097656,buffered_hot,selective_closure,9589.0,9597.5,9612.4,526,856,856,6,0,16,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,16,0.00097656,buffered_hot,broad_fused,806072.0,809097.0,813514.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,16,0.00097656,buffered_drop_cache,selective_closure,173939.0,178316.0,182622.0,526,856,856,6,0,16,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,16,0.00097656,buffered_drop_cache,broad_fused,934273.0,934533.0,935255.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,16,0.00097656,memory_warm,selective_closure,3638.6,3666.4,3672.4,526,856,856,6,0,16,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,16,0.00097656,memory_warm,broad_fused,802127.0,802467.0,806352.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,16,0.00097656,mmap_hot,selective_closure,4095.4,4103.9,4154.5,526,856,856,6,0,16,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,16,0.00097656,mmap_hot,broad_fused,804469.0,805071.0,805090.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,16,0.00097656,buffered_hot,selective_closure,9476.6,9570.2,9592.2,526,856,856,6,0,16,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,16,0.00097656,buffered_hot,broad_fused,809738.0,810819.0,812071.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,16,0.00097656,buffered_drop_cache,selective_closure,173639.0,175853.0,180890.0,526,856,856,6,0,16,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,16,0.00097656,buffered_drop_cache,broad_fused,940784.0,940964.0,941734.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,64,0.00390625,memory_warm,selective_closure,5880.1,5894.9,5929.8,624,856,856,6,0,64,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,64,0.00390625,memory_warm,broad_fused,796508.0,797960.0,799303.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,64,0.00390625,mmap_hot,selective_closure,6299.8,6304.7,6353.8,624,856,856,6,0,64,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,64,0.00390625,mmap_hot,broad_fused,813714.0,817099.0,829026.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,64,0.00390625,buffered_hot,selective_closure,11692.8,11693.8,11809.1,624,856,856,6,0,64,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,64,0.00390625,buffered_hot,broad_fused,819773.0,821716.0,831320.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,64,0.00390625,buffered_drop_cache,selective_closure,177155.0,177575.0,180259.0,624,856,856,6,0,64,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,64,0.00390625,buffered_drop_cache,broad_fused,947503.0,950448.0,964408.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,64,0.00390625,memory_warm,selective_closure,5987.8,5999.6,6062.3,624,856,856,6,0,64,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,64,0.00390625,memory_warm,broad_fused,814395.0,817039.0,818842.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,64,0.00390625,mmap_hot,selective_closure,6441.4,6474.2,6504.2,624,856,856,6,0,64,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,64,0.00390625,mmap_hot,broad_fused,816868.0,818661.0,827965.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,64,0.00390625,buffered_hot,selective_closure,11894.1,11896.8,12071.4,624,856,856,6,0,64,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,64,0.00390625,buffered_hot,broad_fused,820033.0,828886.0,834575.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,64,0.00390625,buffered_drop_cache,selective_closure,178636.0,178657.0,183984.0,624,856,856,6,0,64,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,64,0.00390625,buffered_drop_cache,broad_fused,947713.0,948335.0,959231.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,163,0.00994873,memory_warm,selective_closure,10914.9,10968.2,10972.7,831,1128,1128,7,0,163,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,163,0.00994873,memory_warm,broad_fused,812612.0,812893.0,820033.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,163,0.00994873,mmap_hot,selective_closure,11353.7,11361.8,11467.1,831,1128,1128,7,0,163,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,163,0.00994873,mmap_hot,broad_fused,810549.0,811581.0,812982.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,163,0.00994873,buffered_hot,selective_closure,17599.8,17635.6,17720.4,831,1128,1128,7,0,163,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,163,0.00994873,buffered_hot,broad_fused,816167.0,818581.0,828796.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,163,0.00994873,buffered_drop_cache,selective_closure,181261.0,182492.0,182542.0,831,1128,1128,7,0,163,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,163,0.00994873,buffered_drop_cache,broad_fused,942776.0,949346.0,958589.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,163,0.00994873,memory_warm,selective_closure,11285.9,11320.6,11404.0,831,1128,1128,7,0,163,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,163,0.00994873,memory_warm,broad_fused,817930.0,820213.0,826182.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,163,0.00994873,mmap_hot,selective_closure,11668.9,11794.9,11821.3,831,1128,1128,7,0,163,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,163,0.00994873,mmap_hot,broad_fused,818320.0,819092.0,819191.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,163,0.00994873,buffered_hot,selective_closure,17917.9,18013.6,18136.7,831,1128,1128,7,0,163,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,163,0.00994873,buffered_hot,broad_fused,821015.0,821074.0,828886.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,163,0.00994873,buffered_drop_cache,selective_closure,186748.0,187049.0,188280.0,831,1128,1128,7,0,163,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,163,0.00994873,buffered_drop_cache,broad_fused,949106.0,952170.0,959591.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,256,0.01562500,memory_warm,selective_closure,15457.3,15510.2,15646.2,1021,1400,1400,8,0,256,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,256,0.01562500,memory_warm,broad_fused,811320.0,811390.0,811390.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,256,0.01562500,mmap_hot,selective_closure,15908.2,15952.8,16054.3,1021,1400,1400,8,0,256,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,256,0.01562500,mmap_hot,broad_fused,812663.0,815166.0,821886.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,256,0.01562500,buffered_hot,selective_closure,23084.0,23117.3,23280.4,1021,1400,1400,8,0,256,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,256,0.01562500,buffered_hot,broad_fused,816137.0,820353.0,821925.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,256,0.01562500,buffered_drop_cache,selective_closure,188761.0,190264.0,192978.0,1021,1400,1400,8,0,256,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,256,0.01562500,buffered_drop_cache,broad_fused,939010.0,942846.0,951259.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,256,0.01562500,memory_warm,selective_closure,16143.4,16287.3,16295.0,1021,1400,1400,8,0,256,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,256,0.01562500,memory_warm,broad_fused,818761.0,819292.0,820103.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,256,0.01562500,mmap_hot,selective_closure,16535.0,16689.7,16699.4,1021,1400,1400,8,0,256,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,256,0.01562500,mmap_hot,broad_fused,816428.0,817580.0,819403.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,256,0.01562500,buffered_hot,selective_closure,23669.8,23889.2,23909.7,1021,1400,1400,8,0,256,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,256,0.01562500,buffered_hot,broad_fused,818400.0,819302.0,821004.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,256,0.01562500,buffered_drop_cache,selective_closure,188862.0,190154.0,200399.0,1021,1400,1400,8,0,256,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,256,0.01562500,buffered_drop_cache,broad_fused,950898.0,952310.0,956877.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,819,0.04998779,memory_warm,selective_closure,44853.9,44873.0,45163.3,2215,2552,2552,14,0,819,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,819,0.04998779,memory_warm,broad_fused,816708.0,821125.0,822227.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,819,0.04998779,mmap_hot,selective_closure,45337.6,45492.5,45766.5,2215,2552,2552,14,0,819,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,819,0.04998779,mmap_hot,broad_fused,813694.0,814925.0,817119.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
