case,split,recipe,query,tier,first_fused_win_rows,first_fused_win_selectivity,selective_wins,cells
7,train,"Nullable(FOR(Delta(BitPack)))",SUM,mmap_hot,16384,1.00000000,16,17
7,train,"Nullable(FOR(Delta(BitPack)))",SUM,buffered_hot,14745,0.89996338,15,17
7,train,"Nullable(FOR(Delta(BitPack)))",SUM,buffered_drop_cache,14745,0.89996338,15,17
7,train,"Nullable(FOR(Delta(BitPack)))",BETWEEN,memory_warm,16384,1.00000000,16,17
7,train,"Nullable(FOR(Delta(BitPack)))",BETWEEN,mmap_hot,16384,1.00000000,16,17
7,train,"Nullable(FOR(Delta(BitPack)))",BETWEEN,buffered_hot,14745,0.89996338,15,17
7,train,"Nullable(FOR(Delta(BitPack)))",BETWEEN,buffered_drop_cache,14745,0.89996338,15,17
8,train,"Patch(FOR(Delta(BitPack)))",SUM,memory_warm,16384,1.00000000,16,17
8,train,"Patch(FOR(Delta(BitPack)))",SUM,mmap_hot,16384,1.00000000,16,17
8,train,"Patch(FOR(Delta(BitPack)))",SUM,buffered_hot,11468,0.69995117,13,17
8,train,"Patch(FOR(Delta(BitPack)))",SUM,buffered_drop_cache,11468,0.69995117,13,17
8,train,"Patch(FOR(Delta(BitPack)))",BETWEEN,memory_warm,,,17,17
8,train,"Patch(FOR(Delta(BitPack)))",BETWEEN,mmap_hot,,,17,17
8,train,"Patch(FOR(Delta(BitPack)))",BETWEEN,buffered_hot,11468,0.69995117,13,17
8,train,"Patch(FOR(Delta(BitPack)))",BETWEEN,buffered_drop_cache,13107,0.79998779,14,17
9,train,"Frame(Dictionary(RLE(BitPack)))",SUM,memory_warm,,,17,17
9,train,"Frame(Dictionary(RLE(BitPack)))",SUM,mmap_hot,,,17,17
9,train,"Frame(Dictionary(RLE(BitPack)))",SUM,buffered_hot,,,17,17
9,train,"Frame(Dictionary(RLE(BitPack)))",SUM,buffered_drop_cache,,,17,17
9,train,"Frame(Dictionary(RLE(BitPack)))",BETWEEN,memory_warm,,,17,17
9,train,"Frame(Dictionary(RLE(BitPack)))",BETWEEN,mmap_hot,,,17,17
9,train,"Frame(Dictionary(RLE(BitPack)))",BETWEEN,buffered_hot,16384,1.00000000,16,17
