non_decreasing,sources,pairs,predicate_cells,source_median_gen_over_parquet_filter,source_median_gen_over_parquet_boundary,source_median_gen_over_equal_page_parquet_boundary,source_median_direct_gen_over_parquet_boundary,source_median_direct_gen_over_equal_page_parquet_boundary,source_median_gen_delivered_over_parquet_boundary,sources_beating_parquet_boundary,direct_sources_beating_parquet_boundary,direct_sources_beating_equal_page_parquet_boundary
false,6,12,40,1.2023,1.4657,1.5513,0.7259,0.9990,0.5970,2,4,3
true,26,28,112,0.7412,2.0195,0.8352,0.1707,0.0867,2.1314,0,25,26
