pair,predicate,actual_selectivity,known_gen_ns,known_direct_gen_ns,known_fused_ns,known_parquet_ns,complete_gen_ns,complete_direct_gen_ns,complete_fused_ns,complete_scan_ns,parquet_full_ns,parquet_filter_ns,parquet_boundary_ns,parquet_boundary_p4096_ns,parquet_boundary_p16384_ns,known_gen_over_parquet,known_direct_gen_over_parquet,complete_gen_over_scan,complete_gen_over_parquet_full,complete_gen_over_parquet_filter,complete_gen_over_parquet_boundary,complete_gen_over_parquet_boundary_p4096,complete_gen_over_parquet_boundary_p16384,complete_direct_gen_over_parquet_boundary,complete_direct_gen_over_parquet_boundary_p16384,complete_direct_gen_over_storage_gen,discovery_multiplier,discovery_share,direct_discovery_share
15,1pct,0.01000000,4362.2,202.3,33625.1,6293.2,29106.8,736.2,57956.7,23443.5,25819.4,26938.9,15308.2,23200.9,23203.5,0.6932,0.0321,1.2416,1.1273,1.0805,1.9014,1.2546,1.2544,0.0481,0.0317,0.0253,6.6725,0.8501,0.7252
15,50pct,0.50000000,18134.0,4785.4,34366.8,9033.5,34832.5,5298.0,50597.3,38132.2,26962.0,29947.7,25492.4,25003.6,25107.7,2.0074,0.5297,0.9135,1.2919,1.1631,1.3664,1.3931,1.3873,0.2078,0.2110,0.1521,1.9208,0.4794,0.0968
16,0.1pct,0.00080000,3440.0,80.0,32555.3,6067.1,25928.9,568.0,55301.9,23030.1,23438.8,24840.7,14747.0,22920.7,22983.5,0.5670,0.0132,1.1259,1.1062,1.0438,1.7582,1.1312,1.1282,0.0385,0.0247,0.0219,7.5375,0.8673,0.8592
16,10pct,0.10000000,6313.7,1097.2,32694.4,6389.9,23872.0,1606.7,50459.4,26106.6,23834.2,25267.7,15178.8,23507.2,23490.2,0.9881,0.1717,0.9144,1.0016,0.9448,1.5727,1.0155,1.0163,0.1059,0.0684,0.0673,3.7810,0.7355,0.3171
16,1pct,0.01000000,3748.7,214.8,32641.5,6119.8,28924.6,747.5,58122.2,23352.9,23606.5,24941.4,14918.2,23215.7,23137.6,0.6126,0.0351,1.2386,1.2253,1.1597,1.9389,1.2459,1.2501,0.0501,0.0323,0.0258,7.7159,0.8704,0.7126
16,50pct,0.50000000,17489.4,4786.7,33196.8,8650.7,34842.5,5282.1,50911.6,37937.3,24388.6,27727.5,24925.0,24816.0,24779.3,2.0217,0.5533,0.9184,1.4286,1.2566,1.3979,1.4040,1.4061,0.2119,0.2132,0.1516,1.9922,0.4980,0.0938
17,0.1pct,0.00088731,2478.9,73.4,10495.0,6268.2,14697.0,522.7,22752.0,13008.9,15403.4,16928.3,15234.2,16674.9,16608.5,0.3955,0.0117,1.1298,0.9541,0.8682,0.9647,0.8814,0.8849,0.0343,0.0315,0.0356,5.9288,0.8313,0.8596
17,10pct,0.09937888,3853.8,538.1,10731.6,6401.7,20505.9,987.7,27410.1,14501.3,15528.9,17010.3,15472.1,16802.7,16777.3,0.6020,0.0841,1.4141,1.3205,1.2055,1.3253,1.2204,1.2222,0.0638,0.0589,0.0482,5.3210,0.8121,0.4552
17,1pct,0.00976043,2504.4,142.1,10545.4,6381.6,14370.3,580.1,22373.4,13068.3,15506.2,17025.7,15423.0,16728.8,16720.6,0.3924,0.0223,1.0996,0.9267,0.8440,0.9317,0.8590,0.8594,0.0376,0.0347,0.0404,5.7380,0.8257,0.7550
17,50pct,0.49955634,5000.1,2265.5,11702.9,7300.8,17304.5,2732.1,23995.3,15965.6,15865.0,17742.7,16482.8,17703.4,17671.2,0.6849,0.3103,1.0839,1.0907,0.9753,1.0499,0.9775,0.9792,0.1658,0.1546,0.1579,3.4608,0.7111,0.1708
18,0.1pct,0.00080160,4106.7,78.0,21420.4,6052.0,25687.4,568.9,43044.8,23036.6,24605.4,25137.9,15135.2,22957.1,22892.0,0.6786,0.0129,1.1151,1.0440,1.0219,1.6972,1.1189,1.1221,0.0376,0.0249,0.0221,6.2550,0.8401,0.8629
18,10pct,0.09979960,4745.9,1068.3,21970.0,6586.7,21915.9,1609.7,39154.6,23915.2,24790.6,25413.7,15640.7,23469.5,23419.1,0.7205,0.1622,0.9164,0.8840,0.8624,1.4012,0.9338,0.9358,0.1029,0.0687,0.0734,4.6179,0.7834,0.3363
18,1pct,0.00961924,4163.2,217.0,21455.7,6180.2,27536.1,730.7,44913.3,23158.5,24587.6,24991.5,15144.8,22964.5,22930.8,0.6736,0.0351,1.1890,1.1199,1.1018,1.8182,1.1991,1.2008,0.0482,0.0319,0.0265,6.6142,0.8488,0.7030
18,50pct,0.49979960,9484.3,4799.0,24051.2,9129.4,27337.2,5290.9,41920.4,29349.6,24510.0,28200.1,25647.6,25134.4,25024.4,1.0389,0.5257,0.9314,1.1153,0.9694,1.0659,1.0876,1.0924,0.2063,0.2114,0.1935,2.8824,0.6531,0.0930
