non_decreasing,sources,pairs,predicate_cells,source_median_gen_over_parquet_filter,source_median_gen_over_parquet_boundary,source_median_gen_over_equal_page_parquet_boundary,source_median_direct_gen_over_parquet_boundary,source_median_direct_gen_over_equal_page_parquet_boundary,source_median_gen_delivered_over_parquet_boundary,sources_beating_parquet_boundary,direct_sources_beating_parquet_boundary,direct_sources_beating_equal_page_parquet_boundary
false,6,12,40,1.3145,1.4362,1.4370,0.6157,0.7170,0.6234,2,4,4
true,26,28,112,0.7453,1.9108,0.7495,0.1706,0.0878,1.9331,0,26,26
