column,group,source,name,rows,recipe,file_bytes,selected
4,"nab","nyc_taxi","timestamp",10320,"Frame(Dictionary(BitPack))",38315,0
4,"nab","nyc_taxi","timestamp",10320,"Frame(Dictionary(RLE(BitPack)))",38526,0
4,"nab","nyc_taxi","timestamp",10320,"RLE(FOR(BitPack))",76752,0
4,"nab","nyc_taxi","timestamp",10320,"Dictionary(BitPack)",100960,0
4,"nab","nyc_taxi","timestamp",10320,"Dictionary(RLE(BitPack))",145056,0
5,"nab","nyc_taxi","value_x1",10320,"Frame(Delta(BitPack))",18855,1
5,"nab","nyc_taxi","value_x1",10320,"Frame(FOR(Delta(BitPack)))",18984,0
5,"nab","nyc_taxi","value_x1",10320,"Frame(FOR(BitPack))",20299,0
5,"nab","nyc_taxi","value_x1",10320,"FOR(BitPack)",21056,0
5,"nab","nyc_taxi","value_x1",10320,"Delta(BitPack)",21440,0
5,"nab","nyc_taxi","value_x1",10320,"FOR(Delta(BitPack))",21504,0
5,"nab","nyc_taxi","value_x1",10320,"Frame(RLE(FOR(BitPack)))",22539,0
5,"nab","nyc_taxi","value_x1",10320,"Frame(Dictionary(BitPack))",25833,0
5,"nab","nyc_taxi","value_x1",10320,"Frame(Dictionary(RLE(BitPack)))",28454,0
5,"nab","nyc_taxi","value_x1",10320,"RLE(FOR(BitPack))",65088,0
5,"nab","nyc_taxi","value_x1",10320,"Dictionary(BitPack)",81872,0
5,"nab","nyc_taxi","value_x1",10320,"Dictionary(RLE(BitPack))",125904,0
6,"nab","twitter_aapl","timestamp",15902,"Frame(Delta(BitPack))",521,1
6,"nab","twitter_aapl","timestamp",15902,"Frame(UnsignedDelta(BitPack))",526,0
6,"nab","twitter_aapl","timestamp",15902,"Frame(FOR(Delta(BitPack)))",701,0
6,"nab","twitter_aapl","timestamp",15902,"UnsignedDelta(BitPack)",18832,0
6,"nab","twitter_aapl","timestamp",15902,"Delta(BitPack)",20832,0
6,"nab","twitter_aapl","timestamp",15902,"FOR(Delta(BitPack))",20896,0
6,"nab","twitter_aapl","timestamp",15902,"Frame(FOR(BitPack))",44540,0
6,"nab","twitter_aapl","timestamp",15902,"Frame(RLE(FOR(BitPack)))",45330,0
6,"nab","twitter_aapl","timestamp",15902,"FOR(BitPack)",46320,0
6,"nab","twitter_aapl","timestamp",15902,"Frame(Dictionary(BitPack))",58436,0
6,"nab","twitter_aapl","timestamp",15902,"Frame(Dictionary(RLE(BitPack)))",59102,0
6,"nab","twitter_aapl","timestamp",15902,"RLE(FOR(BitPack))",114096,0
6,"nab","twitter_aapl","timestamp",15902,"Dictionary(BitPack)",155488,0
6,"nab","twitter_aapl","timestamp",15902,"Dictionary(RLE(BitPack))",223264,0
7,"nab","twitter_aapl","value_x1",15902,"Frame(Delta(BitPack))",18983,1
7,"nab","twitter_aapl","value_x1",15902,"Frame(FOR(Delta(BitPack)))",19110,0
7,"nab","twitter_aapl","value_x1",15902,"Frame(Dictionary(BitPack))",19403,0
7,"nab","twitter_aapl","value_x1",15902,"Frame(FOR(BitPack))",21101,0
7,"nab","twitter_aapl","value_x1",15902,"Frame(Dictionary(RLE(BitPack)))",23456,0
7,"nab","twitter_aapl","value_x1",15902,"Frame(RLE(FOR(BitPack)))",24535,0
7,"nab","twitter_aapl","value_x1",15902,"Dictionary(BitPack)",25312,0
7,"nab","twitter_aapl","value_x1",15902,"FOR(BitPack)",28320,0
7,"nab","twitter_aapl","value_x1",15902,"Delta(BitPack)",28832,0
7,"nab","twitter_aapl","value_x1",15902,"FOR(Delta(BitPack))",28896,0
7,"nab","twitter_aapl","value_x1",15902,"Dictionary(RLE(BitPack))",90464,0
7,"nab","twitter_aapl","value_x1",15902,"RLE(FOR(BitPack))",93152,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Frame(Dictionary(BitPack))",690,1
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Frame(FOR(BitPack))",710,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Frame(Dictionary(RLE(BitPack)))",738,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Frame(RLE(FOR(BitPack)))",762,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Dictionary(RLE(BitPack))",880,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Frame(Delta(BitPack))",925,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"RLE(FOR(BitPack))",928,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Frame(FOR(Delta(BitPack)))",1053,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Dictionary(BitPack)",49472,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"FOR(BitPack)",164160,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"Delta(BitPack)",184640,0
8,"publicbi","Bimbo","c0_Agencia_ID_x1",131072,"FOR(Delta(BitPack))",184768,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Frame(FOR(BitPack))",66966,1
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Frame(RLE(FOR(BitPack)))",75875,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Frame(Delta(BitPack))",81069,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Frame(FOR(Delta(BitPack)))",81203,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Frame(Dictionary(RLE(BitPack)))",86431,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Frame(Dictionary(BitPack))",110085,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"RLE(FOR(BitPack))",153152,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Dictionary(RLE(BitPack))",251168,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Dictionary(BitPack)",354112,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"FOR(BitPack)",393536,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"Delta(BitPack)",414016,0
9,"publicbi","Bimbo","c2_Cliente_ID_x1",131072,"FOR(Delta(BitPack))",414144,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Frame(Dictionary(BitPack))",73139,1
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Frame(FOR(BitPack))",95458,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Frame(Delta(BitPack))",101569,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Frame(FOR(Delta(BitPack)))",101707,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Frame(Dictionary(RLE(BitPack)))",104321,0
