storage,filesystem,order,cache_state,policy,pages,logical_rows,selected_rows,file_bytes,required_bytes,scheduled_bytes,read_calls,gap_bytes,p25_ns,median_ns,p75_ns,os_read_bytes,os_read_chars,minor_faults,major_faults,query_transferred_bytes,checksum
temporary_mount,ext4,sequential,warm,full_file,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,296828210.0,297003512.0,297165825.0,0,29026515,0,0,21434570,886709640255874
temporary_mount,ext4,sequential,cold,per_page,1024,90735351,29124514,29026379,21434570,21434570,1083,0,314982470.0,315143020.0,315528858.0,29028352,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,sequential,cold,sorted_closure,1024,90735351,29124514,29026379,21434570,21434570,1083,0,324171153.0,324206676.0,324373535.0,29028352,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,sequential,cold,coalesce_512b,1024,90735351,29124514,29026379,21434570,21434570,1083,0,324462279.0,324520215.0,324586975.0,29028352,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,sequential,cold,coalesce_4k,1024,90735351,29124514,29026379,21434570,23906019,119,2471449,323011117.0,323154893.0,323207421.0,29028352,23906155,0,0,21434570,886709640255874
temporary_mount,ext4,sequential,cold,coalesce_64k,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,318285575.0,318525014.0,319065963.0,29028352,29026515,0,0,21434570,886709640255874
temporary_mount,ext4,sequential,cold,full_file,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,318262261.0,318323202.0,319728676.0,29028352,29026515,0,0,21434570,886709640255874
temporary_mount,ext4,random,warm,per_page,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296407023.0,296840531.0,297292847.0,0,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,random,warm,sorted_closure,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296900491.0,296949825.0,297394671.0,0,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,random,warm,coalesce_512b,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296990065.0,297005829.0,297365978.0,0,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,random,warm,coalesce_4k,1024,90735351,29124514,29026379,21434570,23906019,119,2471449,295900215.0,296207304.0,296529337.0,0,23906155,0,0,21434570,886709640255874
